1.183	0.003	0.048	0.014	0.304	0.05	0.017	0.016	0.015	0.016	0.027	0.03	0.028	0.014	0.015	0.01	0.013	0.012	0.01	0.011	0.01	0.014	0.012	0.016	0.009	0.01	0.009	0.01	0.03	0.017	0.013	0.015	0.014	0.012	0.009	0.087	0.01	0.01	0.011	0.008	0.002	0.003	0.005	0.002	0.005	0.011	0.014	0.011	0.008	0.014	0.001	0.026	0.021	0.005	0.004	0.007	0.008	0.013	0.025	0.009	0.011	0.007	0.000
0.000	1.058	0.001	0.000	0.001	0.000	0.013	0.002	0.001	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000
0.000	0.000	1.014	0.000	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.075	0.022	0.101	1.12	0.076	0.052	0.065	0.141	0.081	0.637	0.169	0.066	0.086	0.172	0.142	0.07	0.05	0.068	0.057	0.064	0.047	0.059	0.053	0.29	0.075	0.06	0.056	0.047	0.049	0.031	0.085	0.2	0.291	0.053	0.042	0.042	0.033	0.022	0.028	0.022	0.011	0.008	0.016	0.008	0.02	0.037	0.041	0.034	0.03	0.046	0.004	0.071	0.031	0.021	0.015	0.032	0.038	0.026	0.031	0.027	0.031	0.027	0.000
0.128	0.005	0.198	0.036	1.403	0.057	0.029	0.033	0.023	0.038	0.067	0.07	0.036	0.032	0.039	0.021	0.019	0.023	0.019	0.021	0.018	0.024	0.024	0.043	0.02	0.019	0.016	0.019	0.035	0.023	0.039	0.038	0.03	0.028	0.022	0.233	0.02	0.014	0.019	0.012	0.004	0.004	0.01	0.004	0.009	0.017	0.026	0.018	0.016	0.022	0.002	0.063	0.019	0.008	0.008	0.017	0.019	0.019	0.016	0.027	0.021	0.015	0.000
0.01	0.002	0.021	0.009	0.01	1.504	0.085	0.047	0.094	0.009	0.023	0.014	0.035	0.013	0.011	0.013	0.011	0.011	0.011	0.023	0.015	0.071	0.01	0.006	0.006	0.011	0.009	0.012	0.015	0.011	0.007	0.007	0.008	0.006	0.006	0.008	0.01	0.007	0.006	0.007	0.003	0.002	0.003	0.003	0.006	0.007	0.018	0.009	0.01	0.014	0.001	0.007	0.012	0.003	0.002	0.008	0.006	0.008	0.015	0.007	0.012	0.012	0.000
0.006	0.001	0.008	0.004	0.011	0.005	1.25	0.066	0.013	0.004	0.007	0.009	0.009	0.008	0.008	0.009	0.007	0.008	0.007	0.01	0.009	0.112	0.008	0.007	0.004	0.006	0.024	0.006	0.008	0.003	0.005	0.004	0.004	0.004	0.003	0.005	0.007	0.003	0.004	0.004	0.001	0.001	0.002	0.002	0.004	0.008	0.005	0.007	0.005	0.006	0.000	0.004	0.007	0.002	0.001	0.006	0.004	0.004	0.005	0.003	0.011	0.004	0.000
0.013	0.005	0.017	0.017	0.034	0.017	0.057	1.317	0.167	0.017	0.023	0.019	0.036	0.021	0.027	0.02	0.017	0.026	0.02	0.023	0.018	0.032	0.019	0.015	0.017	0.024	0.016	0.019	0.021	0.012	0.021	0.016	0.016	0.024	0.019	0.023	0.068	0.02	0.015	0.016	0.012	0.007	0.012	0.005	0.032	0.024	0.016	0.037	0.031	0.018	0.003	0.026	0.053	0.01	0.009	0.01	0.026	0.027	0.029	0.021	0.017	0.009	0.000
0.003	0.002	0.003	0.006	0.006	0.006	0.023	0.018	1.047	0.006	0.008	0.008	0.007	0.006	0.007	0.006	0.005	0.006	0.006	0.007	0.006	0.01	0.006	0.005	0.007	0.007	0.006	0.008	0.005	0.004	0.009	0.006	0.006	0.01	0.007	0.006	0.019	0.012	0.008	0.007	0.011	0.006	0.009	0.002	0.014	0.01	0.005	0.013	0.013	0.007	0.001	0.01	0.026	0.005	0.004	0.003	0.006	0.018	0.022	0.013	0.007	0.006	0.000
0.077	0.027	0.119	0.09	0.047	0.031	0.039	0.048	0.039	1.163	0.164	0.037	0.058	0.054	0.055	0.033	0.028	0.034	0.031	0.032	0.026	0.032	0.033	0.061	0.024	0.033	0.033	0.038	0.029	0.021	0.092	0.338	0.488	0.045	0.036	0.026	0.017	0.014	0.014	0.013	0.006	0.005	0.011	0.004	0.011	0.021	0.024	0.022	0.015	0.041	0.002	0.091	0.02	0.01	0.006	0.014	0.015	0.013	0.015	0.018	0.021	0.013	0.000
0.085	0.014	0.054	0.076	0.088	0.114	0.13	0.155	0.131	0.107	1.391	0.173	0.312	0.1	0.087	0.08	0.102	0.105	0.074	0.09	0.085	0.1	0.091	0.053	0.037	0.054	0.049	0.059	0.037	0.019	0.044	0.046	0.064	0.029	0.025	0.031	0.034	0.023	0.02	0.024	0.008	0.006	0.011	0.009	0.023	0.039	0.07	0.031	0.036	0.039	0.003	0.032	0.038	0.011	0.009	0.043	0.026	0.021	0.026	0.026	0.03	0.023	0.000
0.01	0.001	0.005	0.006	0.017	0.006	0.006	0.008	0.006	0.006	0.037	1.138	0.041	0.013	0.006	0.005	0.005	0.006	0.005	0.006	0.005	0.007	0.005	0.004	0.003	0.004	0.004	0.004	0.004	0.002	0.004	0.003	0.004	0.003	0.002	0.004	0.003	0.002	0.002	0.003	0.001	0.001	0.001	0.001	0.002	0.004	0.017	0.008	0.008	0.004	0.000	0.003	0.005	0.001	0.002	0.094	0.007	0.002	0.002	0.002	0.003	0.002	0.000
0.02	0.008	0.025	0.021	0.038	0.034	0.05	0.051	0.034	0.02	0.044	0.061	1.162	0.054	0.05	0.063	0.047	0.077	0.063	0.092	0.049	0.049	0.044	0.018	0.018	0.028	0.053	0.048	0.021	0.011	0.028	0.017	0.02	0.021	0.017	0.016	0.018	0.015	0.015	0.015	0.007	0.005	0.008	0.005	0.019	0.03	0.031	0.022	0.022	0.025	0.002	0.017	0.037	0.007	0.006	0.014	0.016	0.014	0.017	0.017	0.02	0.011	0.000
0.018	0.003	0.014	0.026	0.025	0.011	0.029	0.014	0.011	0.02	0.028	0.016	0.026	1.14	0.046	0.029	0.025	0.037	0.026	0.031	0.027	0.028	0.023	0.014	0.018	0.019	0.072	0.016	0.014	0.006	0.01	0.012	0.015	0.009	0.007	0.012	0.008	0.006	0.006	0.007	0.002	0.002	0.003	0.006	0.006	0.02	0.013	0.009	0.008	0.012	0.001	0.009	0.012	0.004	0.003	0.007	0.007	0.007	0.009	0.011	0.01	0.004	0.000
0.029	0.01	0.035	0.062	0.047	0.04	0.069	0.062	0.051	0.059	0.131	0.085	0.138	0.09	1.617	0.302	0.132	0.281	0.227	0.22	0.14	0.188	0.141	0.05	0.044	0.11	0.088	0.085	0.042	0.02	0.047	0.037	0.053	0.037	0.027	0.022	0.032	0.021	0.022	0.032	0.008	0.006	0.011	0.013	0.025	0.09	0.074	0.035	0.036	0.058	0.003	0.029	0.035	0.014	0.008	0.042	0.02	0.021	0.024	0.019	0.052	0.015	0.000
0.028	0.012	0.038	0.033	0.036	0.032	0.061	0.055	0.048	0.032	0.055	0.036	0.09	0.062	0.16	1.326	0.094	0.166	0.326	0.216	0.124	0.098	0.141	0.036	0.044	0.067	0.099	0.078	0.035	0.017	0.041	0.033	0.039	0.033	0.025	0.019	0.027	0.019	0.022	0.026	0.007	0.006	0.01	0.01	0.024	0.048	0.065	0.034	0.029	0.058	0.003	0.025	0.035	0.011	0.007	0.018	0.017	0.022	0.023	0.019	0.037	0.012	0.000
